LOG SESSION DATE: 25.02.2026 13:53
--------------------------------------------------
13:53:20 | awr_driver.py                              | INFO     | ├── Initializing AWR Microwave Office Application...
13:53:20 | awr_driver.py                              | INFO     | └── Successfully connected to active session.
13:53:20 | main.py                                    | INFO     | ├── Loading Project Template...
13:53:20 | open_project.py                            | INFO     | ├── Initiating project load operation from path: C:\Users\Public\Documents\AWR Projects\loadpull.emp
13:53:28 | open_project.py                            | INFO     | └── Successfully loaded the specified project file: loadpull.emp
13:53:28 | main.py                                    | INFO     | Storage Initialized: 'outputs\RUN 26.02.25-13.53.19\csv results\simulation_results.csv'
13:53:28 | main.py                                    | INFO     | Starting Simulation Sequence
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     | Configuring RF Frequencies: 'VDS40_Load_Pull'
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 12.6 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 12.65 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 12.7 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 12.75 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 12.8 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 12.85 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 12.9 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 12.95 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 13.0 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 13.05 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 13.1 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 13.15 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 13.2 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 13.25 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   ├── Added Frequency: 13.3 GHz
13:53:28 | awr_configure_schematic_rf_frequency.py    | INFO     |   └── Added Frequency: 13.35 GHz
13:53:28 | awr_configure_schematic_element.py         | INFO     | Configuring Element: 'DCVS.VDS' in 'VDS40_Load_Pull'
13:53:28 | awr_configure_schematic_element.py         | INFO     |   └── V: [40] -> [40]
13:53:28 | main.py                                    | INFO     | State Matrix Generated: 1 unique combinations.
13:53:28 | main.py                                    | INFO     | ├── PROCESSING STATE 1/1: ('30', '-2.90')
13:53:28 | awr_configure_schematic_element.py         | INFO     | Configuring Element: 'PORT1.P1' in 'VDS40_Load_Pull'
13:53:28 | awr_configure_schematic_element.py         | INFO     |   └── Pwr: [30] -> [30]
13:53:28 | awr_configure_schematic_element.py         | INFO     | Configuring Element: 'DCVS.VGS' in 'VDS40_Load_Pull'
13:53:28 | awr_configure_schematic_element.py         | INFO     |   └── V: [-2.90] -> [-2.90]
