Frekans (GHz),P_in (dBm),VGS (V),PLoad (dbm),PAE (%),Source Mag,Source Ang,Load Mag,Load Ang,SP_Iter1_Point,SP_Iter1_Mag,SP_Iter1_Ang,LP_Iter1_Point,LP_Iter1_Mag,LP_Iter1_Ang,SP_Iter2_Point,SP_Iter2_Mag,SP_Iter2_Ang,LP_Iter2_Point,LP_Iter2_Mag,LP_Iter2_Ang,SP_Iter3_Point,SP_Iter3_Mag,SP_Iter3_Ang,LP_Iter3_Point,LP_Iter3_Mag,LP_Iter3_Ang
13.1,29,-2.60,38.19,46.31,0.8957,-60.101,0.70795,-120.91,12.356,0.8421,-65.25,45.213,0.7131,-121.5,46.308,0.87999,-60.049,46.283,0.70898,-120.58,46.318,0.8957,-60.101,46.308,0.70795,-120.91
13.1,29,-2.65,38.14,46.41,0.89548,-60.498,0.71012,-121.16,12.352,0.8505,-64.05,45.574,0.7031,-120.1,46.372,0.8726,-60.624,46.396,0.71114,-120.83,46.446,0.89548,-60.498,46.41,0.71012,-121.16
13.1,29,-2.70,38.12,46.53,0.88158,-60.375,0.71116,-120.93,12.349,0.8505,-64.05,45.749,0.7031,-120.2,46.503,0.88158,-60.375,46.534,0.71116,-120.93,46.573,0.89588,-59.942,46.531,0.71016,-121.26
13.1,29,-2.75,38.09,46.71,0.88358,-58.896,0.71015,-121.26,12.345,0.8505,-64.05,45.929,0.7031,-120.2,46.643,0.89057,-60.132,46.663,0.71116,-120.93,46.716,0.88358,-58.896,46.714,0.71015,-121.26
13.1,29,-2.80,38.05,46.83,0.89444,-59.703,0.71304,-121.13,12.344,0.8505,-64.05,46.119,0.7131,-121.5,46.878,0.89444,-59.703,46.834,0.71304,-121.13,46.859,0.89706,-60.546,46.697,0.71406,-120.8
13.1,29,-2.85,38.03,46.99,0.89444,-59.703,0.71304,-121.13,12.337,0.8505,-64.05,46.31,0.7131,-121.5,47.037,0.89444,-59.703,46.99,0.71304,-121.13,46.999,0.89557,-60.073,46.895,0.71205,-121.46
13.1,29,-2.90,38.0,47.18,0.88932,-59.51,0.71304,-121.13,12.328,0.8505,-64.05,46.489,0.7131,-121.5,47.195,0.88932,-59.51,47.186,0.71304,-121.13,47.18,0.88633,-59.729,47.181,0.71712,-121.21
13.1,29,-2.95,37.96,47.33,0.88932,-59.51,0.71954,-120.82,12.313,0.8505,-64.05,46.648,0.7131,-121.5,47.324,0.88932,-59.51,47.336,0.71954,-120.82,47.33,0.88633,-59.729,47.334,0.71852,-121.14
13.1,29,-3.00,37.92,47.47,0.88633,-59.729,0.71954,-121.28,12.293,0.8505,-64.05,46.777,0.7131,-121.5,47.42,0.88932,-59.51,47.472,0.72362,-121.36,47.46,0.88633,-59.729,47.477,0.71954,-121.28
13.1,30,-2.60,38.61,47.06,0.90776,-63.254,0.6938,-119.9,12.406,0.8433,-72.43,44.251,0.7131,-121.5,47.836,0.94437,-56.557,46.372,0.70898,-120.58,46.905,0.90776,-63.254,47.055,0.6938,-119.9
13.1,30,-2.65,38.65,47.36,0.8372,-62.868,0.6938,-119.9,12.389,0.8433,-72.43,44.473,0.7131,-121.5,47.975,0.95102,-60.685,46.571,0.70897,-120.58,47.079,0.8372,-62.868,47.356,0.6938,-119.9
13.1,30,-2.70,38.56,47.4,0.86238,-55.609,0.69165,-120.57,12.367,0.8433,-72.43,44.688,0.7131,-121.5,48.134,0.95102,-60.685,46.758,0.70897,-120.58,47.242,0.86238,-55.609,47.4,0.69165,-120.57
13.1,30,-2.75,38.66,47.75,0.86456,-62.972,0.68867,-120.15,12.343,0.8433,-72.43,44.874,0.7131,-121.5,48.257,0.95102,-60.685,46.949,0.70899,-120.58,47.44,0.86456,-62.972,47.751,0.68867,-120.15
13.1,30,-2.80,38.64,47.92,0.86456,-62.972,0.69381,-119.9,12.319,0.8433,-72.43,45.03,0.7131,-121.5,48.379,0.95102,-60.685,47.139,0.70898,-120.58,47.631,0.86456,-62.972,47.919,0.69381,-119.9
13.1,30,-2.85,38.57,48.03,0.82923,-60.846,0.69166,-120.57,12.29,0.8433,-72.43,45.163,0.7131,-121.5,48.512,0.95102,-60.685,47.315,0.70898,-120.58,47.814,0.82923,-60.846,48.032,0.69166,-120.57
13.1,30,-2.90,38.55,48.2,0.82923,-60.846,0.69393,-120.47,12.261,0.8433,-72.43,45.312,0.7299,-120.7,48.533,0.95102,-60.685,47.474,0.71124,-120.48,47.963,0.82923,-60.846,48.197,0.69393,-120.47
13.1,30,-2.95,38.64,48.42,0.88628,-59.248,0.69282,-119.76,12.232,0.8494,-71.17,45.855,0.7131,-121.5,48.688,0.94015,-61.134,48.002,0.70498,-120.03,48.314,0.88628,-59.248,48.413,0.69282,-119.76
13.1,30,-3.00,38.57,48.52,0.8931,-62.591,0.69895,-119.66,12.206,0.8494,-71.17,45.996,0.7131,-121.5,48.844,0.94396,-60.718,47.84,0.70897,-120.58,48.355,0.8931,-62.591,48.517,0.69895,-119.66
13.1,31,-2.60,38.74,47.2,0.95392,-57.801,0.68899,-119.75,12.365,0.8513,-75.35,44.629,0.7131,-121.5,47.291,0.95285,-63.079,47.027,0.6879,-120.09,47.763,0.95392,-57.801,47.198,0.68899,-119.75
13.1,31,-2.65,38.64,47.26,0.9493,-63.504,0.68789,-120.09,12.348,0.8513,-75.35,44.809,0.7131,-121.5,47.48,0.9493,-63.504,47.263,0.68789,-120.09,49.436,0.96078,-60.528,47.241,0.69195,-120.18
13.1,31,-2.70,38.69,47.58,0.95392,-57.801,0.68899,-119.75,12.326,0.8513,-75.35,44.987,0.7131,-121.5,47.649,0.95285,-63.079,47.459,0.6879,-120.09,48.075,0.95392,-57.801,47.586,0.68899,-119.75
13.1,31,-2.75,38.69,47.78,0.95371,-58.205,0.68789,-120.09,12.302,0.8513,-75.35,45.168,0.7131,-121.5,47.822,0.95371,-58.205,47.766,0.68789,-120.09,48.612,0.95427,-63.7,47.32,0.70007,-120.36
13.1,31,-2.80,38.67,47.95,0.95371,-58.205,0.68789,-120.09,12.274,0.8513,-75.35,45.336,0.7131,-121.5,48.008,0.95371,-58.205,47.94,0.68789,-120.09,48.747,0.95427,-63.7,47.517,0.70007,-120.36
13.1,31,-2.85,38.59,48.03,0.95234,-63.139,0.69446,-119.78,12.247,0.8564,-74.08,46.037,0.7131,-121.5,48.255,0.95234,-63.139,48.023,0.69446,-119.78,48.479,0.95332,-57.858,47.952,0.69337,-120.12
13.1,31,-2.90,38.58,48.14,0.95234,-63.139,0.69447,-119.78,12.222,0.8564,-74.08,46.226,0.7131,-121.5,48.425,0.95234,-63.139,48.132,0.69447,-119.78,48.577,0.95332,-57.858,48.007,0.69853,-119.87
13.1,31,-2.95,38.55,48.22,0.95234,-63.139,0.70105,-119.47,12.196,0.8564,-74.08,46.405,0.7131,-121.5,48.6,0.95234,-63.139,48.21,0.70105,-119.47,48.663,0.95332,-57.858,48.074,0.69993,-119.8
13.1,31,-3.00,38.64,48.44,0.95502,-60.63,0.69699,-119.38,12.169,0.8564,-74.08,46.562,0.7131,-121.5,48.792,0.95234,-63.139,48.294,0.70104,-119.47,48.786,0.95502,-60.63,48.443,0.69699,-119.38
